ds,SALES,yearly,trend,monthly,weekly,holidays,KPM_COST_EMOD,PLA_AD_SPEND_PLA,TOA_AD_SPEND_TOA,REDEMPTION_COST_LOYAL_CUSTOMER_MAILER,REDEMPTION_COST_MY_MAGAZINE
2021-06-06,160186944.70987058,-33312468.93785401,161601895.8077535,-6442919.973795341,26113932.82191471,0.0,0.0,2239.008486,1251.9079999999994,0.0,0.0
2021-06-07,134448390.09989822,-34720529.12843657,161599348.23137513,-5484218.28184335,-7446433.805937402,0.0,0.0,2203.54728,1249.3320000000003,0.0,0.0
2021-06-08,121359689.84992202,-35518497.365711994,161596800.65499675,-6397144.156883035,-15377554.78200244,0.0,0.0,2204.710992,1236.5080000000003,0.0,0.0
2021-06-09,121170288.82992473,-35683667.684978165,161594253.07861838,-9001967.341474766,-16233088.8108702,0.0,0.0,2280.577374,1234.5199999999998,0.0,0.0
2021-06-10,123726748.85992472,-35209113.46232187,161591705.50224,-11055021.793184498,-14654980.068612922,0.0,0.0,2327.5557080000003,1238.0479999999998,0.0,0.0
2021-06-11,129684928.17991224,-34103846.37521473,161589157.9258616,-10753214.9369325,8221142.4142622035,0.0,0.0,2284.9053999999996,1230.152,0.0,0.0
2021-06-12,132333133.07990737,-32392550.570813585,161586610.34948322,-8441094.214556875,19376982.231249213,0.0,0.0,2302.464786,1224.1600000000003,0.0,0.0
2021-06-13,159274255.35987592,-30114901.00213742,161584062.77310485,-6063662.742650889,26113932.821898244,0.0,0.0,2290.398256,1236.8719999999998,0.0,0.0
2021-06-14,132665479.06991385,-27324486.45234083,161581515.19672647,-5196738.548909993,-7446433.805948739,0.0,0.0,2313.1969500000005,1233.932,0.0,0.0
2021-06-15,123619593.78992248,-24087368.69558987,161578967.6203481,-5700691.987110635,-15377554.782013552,0.0,0.0,2258.2298239999996,1221.3600000000004,0.0,0.0
2021-06-16,116116585.8199218,-20480319.22691344,161576420.04396972,-6154010.736528045,-16233088.810897788,0.0,0.0,2233.8254279999996,1223.74,0.0,0.0
2021-06-17,120818007.95991236,-16588783.75151557,161573872.46759135,-5330695.669536359,-14654980.06861472,0.0,0.0,2220.840062,1228.7799999999997,0.0,0.0
2021-06-18,131010523.94991402,-12504631.910670662,161571324.89121294,-3077488.4221258224,8221142.414191903,0.0,0.0,2284.572644,1223.9360000000001,0.0,0.0
