ds,SALES,yearly,trend,monthly,weekly,holidays,PLA_AD_SPEND_PLA,TOA_AD_SPEND_TOA,REDEMPTION_COST_LOYAL_CUSTOMER_MAILER,REDEMPTION_COST_MY_MAGAZINE
2021-06-06,60358756.47998268,-9175923.99286815,63846735.48298627,-3084742.2004701016,13456514.389694132,0.0,894.39801,0.0,0.0,0.0
2021-06-07,48299212.47999183,-10312992.56670441,63837413.650167786,-2403826.332372188,-5865948.893444009,0.0,884.90791,0.0,0.0,0.0
2021-06-08,43219241.11999917,-11250989.036042836,63828091.81734929,-2681826.6903055296,-9282381.19248143,0.0,874.7625360000001,0.0,0.0,0.0
2021-06-09,43509629.91999579,-11967937.52658738,63818769.9845308,-4012659.436567712,-9590517.167668844,0.0,948.6731499999999,0.0,0.0,0.0
2021-06-10,47887777.439986266,-12447376.191728638,63809448.15171231,-5191596.691354198,-6062849.213809686,0.0,950.6148460000001,0.0,0.0,0.0
2021-06-11,51045430.87998746,-12678804.910975644,63800126.31889381,-5069468.474110998,5113817.459624312,0.0,953.8704199999999,0.0,0.0,0.0
2021-06-12,54543646.23997908,-12657976.90169862,63790804.48607532,-3776636.791495104,12231364.618088787,0.0,941.1123599999999,0.0,0.0,0.0
2021-06-13,61171109.119977154,-12387026.308461633,63781482.653256826,-2606197.4104495603,13456514.38968528,0.0,981.6580080000001,0.0,0.0,0.0
2021-06-14,49370776.95999026,-11874428.30517909,63772160.82043834,-2705615.906752363,-5865948.893452037,0.0,978.8469540000001,0.0,0.0,0.0
2021-06-15,45288714.8799911,-11134792.80246616,63762838.98761985,-3896141.396001427,-9282381.1924854,0.0,958.44784,0.0,0.0,0.0
2021-06-16,44454690.71999522,-10188497.367439058,63753517.15480136,-4788512.9648282,-9590517.167680155,0.0,976.6309580000001,0.0,0.0,0.0
2021-06-17,48826089.11998828,-9061169.310725551,63744195.32198286,-4072157.781307748,-6062849.213813764,0.0,969.9623300000001,0.0,0.0,0.0
2021-06-18,55471808.47998396,-7783030.954604519,63734873.48916437,-1711854.544978107,5113817.459586176,0.0,946.072126,0.0,0.0,0.0
2021-06-19,60283839.03997838,-6388125.755264404,63725551.656345874,1091520.2901475348,12231364.618099077,0.0,956.965846,0.0,0.0,0.0
2021-06-20,55223662.399983734,-4913446.111082791,63716229.82352738,3076635.320819345,13456514.389676351,0.0,947.6820239999998,0.0,0.0,0.0
2021-06-21,48121350.71999306,-3397986.261642942,63706907.990708895,4019972.161265307,-5865948.893460067,0.0,1409.390818,0.0,0.0,0.0
2021-06-22,45527572.63999296,-1881745.601106798,63697586.1578904,4664917.631127823,-9282381.192471042,0.0,1341.6990139999998,0.0,0.0,0.0
2021-06-23,60336724.32000116,-404708.9436439405,63688264.32507191,5615556.279437765,-9590517.167656625,0.0,1320.3232240000002,0.0,0.0,0.0
2021-06-24,67197491.84000969,994169.2408239476,63678942.492253415,6417481.850707895,-6062849.21381384,0.0,1354.6945680000001,0.0,0.0,0.0
2021-06-25,73996744.47999556,2277949.864567332,63669620.65943492,5884138.747782039,5113817.459598542,0.0,1385.019204,0.0,0.0,0.0
2021-06-26,77171340.64000882,3412637.771030912,63660298.82661643,3443217.7552997065,12231364.618101532,0.0,1351.375956,0.0,0.0,0.0
2021-06-27,80452616.3200105,4368029.723022514,63650976.993797936,146993.91531440057,13456514.389667576,0.0,1447.008848,0.0,0.0,0.0
2021-06-28,66486372.3199981,5118460.09591757,63641655.16097945,-1818045.8665673488,-5865948.893421921,-467123.29602095066,1366.7332020000001,0.0,0.0,0.0
2021-06-29,62583967.84000175,5643425.454843968,63632333.32816096,-882865.0147272355,-9282381.192488952,0.0,1572.448102,0.0,0.0,0.0
2021-06-30,65616199.51999297,5928072.59927547,63623091.52556827,2420435.534039512,-9590517.167667937,0.0,2410.458948,0.0,0.0,0.0
